FID IID gender age
HG00096 HG00096 0 59
HG00097 HG00097 1 23
HG00099 HG00099 1 24
HG00100 HG00100 1 75
HG00101 HG00101 0 46
HG00102 HG00102 1 63
HG00103 HG00103 0 37
HG00105 HG00105 0 50
HG00106 HG00106 1 29
HG00107 HG00107 0 72
HG00108 HG00108 0 68
HG00109 HG00109 0 37
HG00110 HG00110 1 35
HG00111 HG00111 1 18
HG00112 HG00112 0 67
HG00113 HG00113 0 45
HG00114 HG00114 0 68
HG00115 HG00115 0 45
HG00116 HG00116 0 35
HG00117 HG00117 0 35
HG00118 HG00118 1 42
HG00119 HG00119 0 28
HG00120 HG00120 1 27
HG00121 HG00121 1 79
HG00122 HG00122 1 40
HG00123 HG00123 1 27
HG00125 HG00125 1 54
HG00126 HG00126 0 63
HG00127 HG00127 1 48
HG00128 HG00128 1 65
HG00129 HG00129 0 29
HG00130 HG00130 1 57
HG00131 HG00131 0 63
HG00132 HG00132 1 45
HG00133 HG00133 1 36
HG00136 HG00136 0 48
HG00137 HG00137 1 71
HG00138 HG00138 0 73
HG00139 HG00139 0 52
HG00140 HG00140 0 18
HG00141 HG00141 0 66
HG00142 HG00142 0 33
HG00143 HG00143 0 67
HG00145 HG00145 0 48
GBR002 HG00146 1 29
HG00148 HG00148 0 40
HG00149 HG00149 0 44
HG00150 HG00150 1 53
HG00151 HG00151 0 71
HG00154 HG00154 1 60
GBR001 HG00155 0 76
HG00157 HG00157 0 26
GBR003 HG00158 1 78
HG00159 HG00159 0 30
HG00160 HG00160 0 28
HG00171 HG00171 1 65
HG00173 HG00173 1 72
HG00174 HG00174 1 74
HG00176 HG00176 1 44
HG00177 HG00177 1 37
HG00178 HG00178 1 42
HG00179 HG00179 1 49
HG00180 HG00180 1 25
HG00181 HG00181 0 44
HG00182 HG00182 0 22
HG00183 HG00183 0 74
HG00185 HG00185 0 63
HG00186 HG00186 0 47
HG00187 HG00187 0 33
HG00188 HG00188 0 41
HG00189 HG00189 0 31
HG00190 HG00190 0 27
HG00231 HG00231 1 49
HG00232 HG00232 1 46
HG00233 HG00233 1 71
HG00234 HG00234 0 71
HG00235 HG00235 1 60
HG00236 HG00236 1 22
HG00237 HG00237 1 45
HG00238 HG00238 1 43
HG00239 HG00239 1 20
HG00240 HG00240 1 51
HG00242 HG00242 0 32
HG00243 HG00243 0 78
HG00244 HG00244 0 71
HG00245 HG00245 1 77
HG00246 HG00246 0 29
HG00250 HG00250 1 52
HG00251 HG00251 0 41
HG00252 HG00252 0 68
HG00253 HG00253 1 52
HG00254 HG00254 1 71
HG00255 HG00255 1 24
HG00256 HG00256 0 52
HG00257 HG00257 1 73
HG00258 HG00258 1 38
HG00259 HG00259 1 22
HG00260 HG00260 0 67
HG00261 HG00261 1 46
HG00262 HG00262 1 56
HG00263 HG00263 1 39
HG00264 HG00264 0 38
HG00265 HG00265 0 39
HG00266 HG00266 1 76
HG00267 HG00267 0 21
HG00268 HG00268 1 58
HG00269 HG00269 1 78
HG00271 HG00271 0 58
HG00272 HG00272 1 76
HG00273 HG00273 0 44
HG00274 HG00274 1 62
HG00275 HG00275 1 50
HG00276 HG00276 1 49
HG00277 HG00277 0 41
HG00278 HG00278 0 28
HG00280 HG00280 0 18
HG00281 HG00281 1 73
HG00282 HG00282 1 34
HG00284 HG00284 0 70
HG00285 HG00285 1 25
HG00288 HG00288 1 55
HG00290 HG00290 0 24
HG00304 HG00304 1 68
HG00306 HG00306 1 51
HG00308 HG00308 0 45
HG00309 HG00309 1 33
HG00310 HG00310 0 68
HG00311 HG00311 0 71
HG00313 HG00313 1 22
HG00315 HG00315 1 44
HG00318 HG00318 1 67
HG00319 HG00319 1 57
HG00320 HG00320 1 32
HG00321 HG00321 0 27
HG00323 HG00323 1 66
HG00324 HG00324 1 56
HG00325 HG00325 0 77
HG00326 HG00326 1 28
HG00327 HG00327 1 23
HG00328 HG00328 1 46
HG00329 HG00329 0 52
HG00330 HG00330 1 56
HG00331 HG00331 1 27
HG00332 HG00332 1 23
HG00334 HG00334 1 25
HG00335 HG00335 0 21
HG00336 HG00336 0 56
HG00337 HG00337 1 55
HG00338 HG00338 0 51
HG00339 HG00339 1 57
HG00341 HG00341 0 61
HG00342 HG00342 0 61
HG00343 HG00343 1 50
HG00344 HG00344 1 42
HG00345 HG00345 0 37
HG00346 HG00346 1 40
HG00349 HG00349 1 38
HG00350 HG00350 1 38
HG00351 HG00351 0 40
HG00353 HG00353 1 34
HG00355 HG00355 1 80
HG00356 HG00356 1 73
HG00357 HG00357 1 78
HG00358 HG00358 0 52
HG00360 HG00360 0 67
HG00361 HG00361 1 61
HG00362 HG00362 1 23
HG00364 HG00364 1 28
HG00365 HG00365 1 47
HG00366 HG00366 0 78
HG00367 HG00367 1 46
HG00368 HG00368 1 47
HG00369 HG00369 0 47
HG00371 HG00371 0 66
HG00372 HG00372 0 62
HG00373 HG00373 1 26
HG00375 HG00375 0 73
HG00376 HG00376 1 64
HG00378 HG00378 1 27
HG00379 HG00379 1 28
HG00380 HG00380 1 60
HG00381 HG00381 1 21
HG00382 HG00382 0 63
HG00383 HG00383 1 63
HG00384 HG00384 1 61
SH001 HG00403 0 56
SH001 HG00404 1 21
SH001 HG00405 1 32
